हैरत,0,,,,,
हावी,-1,,,,,
कष्टदायी,-4,,,,,
खंडित,-3,,,,,
मिश्रण,0,,,,,
पार्टी_की_योजना_बनाई,1,,,,,
अरक्षणीय,-1,,,,,
हठधर्मी,-3,,,,,
-बैक_लॉग_इन,0,,,,,
पूरा_हुआ,3,,,,,
फिसलनदार,-1,,,,,
ग़लतापना,-2,,,,,
ढलते,-1,,,,,
एहतियात_से,1,,,,,
बिना_शर्त,-1,,,,,
अशिष्ट,-2,,,,,
एकता_का_अभाव,-2,,,,,
संयम,1,,,,,
मूर्ख,-2,,,,,
चमक_से,1,,,,,
भोलेपन,1,,,,,
ना_करे,0,,,,,
झेंप,-1,,,,,
अवांछनीय,-3,,,,,
दुष्ट,-4,,,,,
अनिवार्यत:,2,,,,,
जलन_हो,-2,,,,,
पूजा,1,,,,,
अनुपस्थित_होनेवाला,-2,,,,,
नायक,2,,,,,
संवेदनशीलता,1,,,,,
धोखा_देती_है,-2,,,,,
मक्खियों_द्वारा_गंदा_कर_दिया_गया,-2,,,,,
व्याकुल,-1,,,,,
इकबालिया,-1,,,,,
हंसी-उत्तेजक_अभी_तक,2,,,,,
अनिच्छुक,-1,,,,,
पहले_से_न_सोचा,-1,,,,,
अत्याचारी,-4,,,,,
दरारें,-2,,,,,
उन्माद,-1,,,,,
छली,-3,,,,,
विनम्र,2,,,,,
भगदड़_का,-3,,,,,
अपघर्षक,0,,,,,
बेरहमी,-4,,,,,
तुरंत,-1,,,,,
जल्दी,-1,,,,,
कम_मूल्यांकन,-1,,,,,
सफ़ाई,1,,,,,
सीमा,0,,,,,
मज़ा,1,,,,,
दण्ड,-2,,,,,
रेंगना,0,,,,,
सहानुभूति_प्रकट_करना,1,,,,,
उद्वेग_उत्पन्न_करनेवाला_मनुष्य,-2,,,,,
भंग_करनेवाला,-2,,,,,
सर्वनाश,-4,,,,,
दोस्तानीवाला,2,,,,,
नरम,0,,,,,
मानमर्दन,3,,,,,
बड़ी_मुसीबत,-3,,,,,
चकित,1,,,,,
तुली_हुई,-1,,,,,
सत्य_के_प्रति_निष्ठा,2,,,,,
समस्याओं,-3,,,,,
घेर_लेना,-1,,,,,
देदीप्यमान,2,,,,,
धमकी,-3,,,,,
असत,-3,,,,,
नेकनीयत,3,,,,,
थका_हुआ,-2,,,,,
खाट,0,,,,,
आगे_बढ़ने_की_अनुमति,1,,,,,
प्रिय,2,,,,,
क्षय,-1,,,,,
अवैयक्तिक,2,,,,,
ख़ुशी_से,3,,,,,
तीक्ष्णता,2,,,,,
सही,1,,,,,
अस्वाभाविक,-1,,,,,
भटकनेवाला,-1,,,,,
नगण्य,-1,,,,,
कठपुतलियों,-1,,,,,
आशावाद,1,,,,,
निराश,-1,,,,,
उपेक्षा,-1,,,,,
कर्ज_उतारने,0,,,,,
खंडहर_वाला,-1,,,,,
मातहती,1,,,,,
दिलाने,0,,,,,
आचारभ्रष्टीकरण,-3,,,,,
तेल,0,,,,,
आत्मीयता,2,,,,,
आमना-सामना,-1.6,,,,,
झल्लाहट,-1,,,,,
कर्कश_ध्वनी,-1,,,,,
भद्दापन,-1,,,,,
टक्कर,-1,,,,,
मृदुता,2,,,,,
दुश्मन,-2,,,,,
स्वयं_को_हराने,-1,,,,,
मलिन,-1,,,,,
वापस_लौटें,0,,,,,
गिरने,-1,,,,,
चिंताशील,-1,,,,,
स्वांग,-1,,,,,
प्रतिकूलता,-1,,,,,
हलके_पीले_रंग_का,0,,,,,
मृतक,-3,,,,,
बावला,-1,,,,,
शह,1,,,,,
कमजोर,-1,,,,,
देर_से,-1,,,,,
पद,0,,,,,
नम्रता,2,,,,,
पागल_मनुष्य,-1,,,,,
चुंबक_बनाने_की_क्रिया,0,,,,,
गुनगुन,0,,,,,
इनवेसिव,-1,,,,,
लाइसेंस,0,,,,,
प्राणघातक,-3,,,,,
परेशान_कर,-2,,,,,
स्थूलता,-2,,,,,
गुप्त,-1,,,,,
प्रतिरोधी,-2,,,,,
असमानता,-1,,,,,
अंधेरा,-1,,,,,
जाज_का,0,,,,,
दु:_ख,-3,,,,,
किफ़ायती,1,,,,,
पूरी_भावना,1,,,,,
स्वाद,1,,,,,
संतोष,2,,,,,
असुरूपता,-1,,,,,
खलनायक,-3,,,,,
आज्ञा_न_माननेवाला,-2,,,,,
जादूगर,1,,,,,
शरारती_तत्वों,-2,,,,,
बेजा,-2,,,,,
डमी,0,,,,,
दयालुता,3,,,,,
कटाव,-2,,,,,
बस्ट,0,,,,,
जोड़नेवाला,1,,,,,
दुखद_अंत,-4,,,,,
देवता_मानना,2,,,,,
गाली_देना,-4,,,,,
निर्दोष,2,,,,,
चिड़चिड़पन,-1,,,,,
अकथनीय,-1,,,,,
बेहतर_ज्ञात,1,,,,,
गलत_कह,-1,,,,,
विषमताओं,-2,,,,,
दुर्भाग्य,-3,,,,,
की_निंदा_की,-3,,,,,
पार,0,,,,,
विचारशील,2,,,,,
सस्ता_करना,1,,,,,
आपत्तियों,-1,,,,,
अनिश्चितकालीन,-1,,,,,
मतभेद,-2,,,,,
परम_सुख,4,,,,,
तारीख,0,,,,,
अवसरवादी,-1,,,,,
लालसा,-1,,,,,
चापलूसी,-2,,,,,
बेवक़्त,-1,,,,,
गंदे,-2,,,,,
कट्टर_विरोधी,-1,,,,,
आरामपसंद,-1,,,,,
चिकनाई,0,,,,,
थियेटर_का,0,,,,,
अतिरंजना_करना,-1,,,,,
सुरसुराहट,0,,,,,
अति_क्रुद्ध,-2,,,,,
बहशीपन,-4,,,,,
कांप,-1,,,,,
अति_उत्साहित_करना,2,,,,,
इसे_खारिज,-1,,,,,
भला_करे,1,,,,,
प्रेमी,1,,,,,
उबाते,-1,,,,,
गतिरोध,-1,,,,,
शर्म,-1,,,,,
अनुभव_शून्यता,-1,,,,,
लोहे_का,0,,,,,
आनेवाला,0,,,,,
दोस्त,2,,,,,
कामातुर,-1,,,,,
उदासी,-1,,,,,
सबसे_खराब,-4,,,,,
अभद्र,-3,,,,,
सौम्यता,2,,,,,
असत्कारशील,-2,,,,,
बधिया,2,,,,,
त्रासदी,-4,,,,,
अभी_तक,0,,,,,
शूकरशाला,0,,,,,
डाही,-2,,,,,
अलंघनीय,-2,,,,,
बर्बर,-4,,,,,
विश्वासपूर्वक,1,,,,,
माना_जाता,0,,,,,
पक्षपात,-2,,,,,
सदोष,-3,,,,,
विचारधारा_वाले,0,,,,,
ग़लत_बयान,-2,,,,,
पीड़ा,-3,,,,,
ऋणी,-1,,,,,
साहसिक,2,,,,,
निकम्मेपन,-2,,,,,
हैरत_में_डाला_हुआ,-1,,,,,
अल्हड़ी,-1,,,,,
थोड़े_थोड़े_गरम,-1,,,,,
अंधकार,-1,,,,,
सांस_लेने_में_तकलीफ,-2,,,,,
मुड़,0,,,,,
अभिशाप,-3,,,,,
खत्म,-2,,,,,
अराजकतावाद,-2,,,,,
चतुराई,1,,,,,
बदतर,-2,,,,,
अधम,-1,,,,,
अनिमेष,2,,,,,
अप्रचलित,-1,,,,,
अतिक्रमण,-1,,,,,
विप्लव_करनेवाला,-2,,,,,
सामयिक_मज़दूर,0,,,,,
दिलेर,2,,,,,
ज़रूरत_से_ज़्यादा,1,,,,,
बर्बता,-3,,,,,
घातक,-4,,,,,
पागलों_की_तरह,-2,,,,,
परस्पर-विरोधी,-2,,,,,
व्यसन,-3,,,,,
निर्लज्जता,-3,,,,,
दोष_देना,-2,,,,,
वहशी_बनाना,-3,,,,,
टालना,-1,,,,,
प्रेरणा,1,,,,,
निरंकुश,-1,,,,,
एकरसता,0,,,,,
अलार्म,0,,,,,
सहानुभूति,1,,,,,
स्वाद_लेना,0,,,,,
अपयश,-1,,,,,
बुरा,-3,,,,,
निडर,2,,,,,
अपवित्रता,-1,,,,,
सूना,-1,,,,,
सुधारात्मक,1,,,,,
एक,0,,,,,
नरक,-3,,,,,
कल्पनातीत,1,,,,,
नक़ब,-3,,,,,
राजपूत_का,0,,,,,
नफ़रत_से,-3,,,,,
वहमी,-1,,,,,
अव्यवहारिक,-1,,,,,
बैठ_जाता_है,0,,,,,
भेद_का,-1,,,,,
प्रतिकारिता,-1,,,,,
अराजकतावादी,-2,,,,,
नरसंहार,-4,,,,,
कृतध्नता,-3,,,,,
अतिचारिता,-1,,,,,
विचारशून्य,0,,,,,
आपत्तिजनक,-2,,,,,
बिना_लाइसेंस,-2,,,,,
महंगा,-1,,,,,
शर्मनाक,-2,,,,,
अशुद्ध_गणना_करना,-2,,,,,
अल्पज्ञता_से,-2,,,,,
गालियां_बकने_की_क्रिया,-2,,,,,
प्रतिभा,2,,,,,
पहुंच_से_बाहर_का,-1,,,,,
स्खलित,-1,,,,,
समधान_के_अयोग्य,-2,,,,,
मादा_का,0,,,,,
हाय,-1,,,,,
चुभता,-1,,,,,
कपटपूर्ण,-3,,,,,
बदमाश,-3,,,,,
विरोध_प्रदर्शन,-2,,,,,
बंधक,-3,,,,,
सराहनीय,2,,,,,
लक्ष्यहीन,-1,,,,,
नाजायज,-1,,,,,
सांड,0,,,,,
कंजूस,-1,,,,,
एकध्रुवीय,0,,,,,
अशुद्धियों,-1,,,,,
नियमविरूद्ध,-1,,,,,
बंद_करे,-1,,,,,
प्रशंसापूर्ण,1,,,,,
अपरिभाषित,0,,,,,
जिज्ञासु,1,,,,,
चंचल,-1,,,,,
बेमेल,-1,,,,,
बिगड़ती,-1,,,,,
ज़बरदस्ती_से,-2,,,,,
बांटनेवाला,0,,,,,
मेंड,0,,,,,
अस्पष्ट,-1,,,,,
असहिष्णुता,-2,,,,,
थकावट,-1,,,,,
गुस्सा_दिलाना,-1,,,,,
बेहोश,-2,,,,,
असंशोधनीय,-1,,,,,
मांग_करनेवाला,0,,,,,
मोक्ष,2,,,,,
फ़्लॉन्डर,0,,,,,
विकसित_करना,2,,,,,
वैमनस्य,-2,,,,,
तानाशाही,-2,,,,,
आत्म-समालोचना,1,,,,,
लुभावनी,-1,,,,,
डींगवाला,-1,,,,,
असमंजस,-1,,,,,
घृणा_करना,-2,,,,,
दम्भी,-2,,,,,
नैतिकता,1,,,,,
आधिकारिक,1,,,,,
सर्द,0,,,,,
अपकार,-1,,,,,
उत्सुक,1,,,,,
विशुद्ध,1,,,,,
उत्सुकता,1,,,,,
पराए_काम_में_वाधा_डालनेवाला,-2,,,,,
चौंकाने_वाला,-1,,,,,
ईर्ष्या,-2,,,,,
पछतावा_करने_योग्य,-1,,,,,
संशय,-1,,,,,
चर्चा_हुई,0,,,,,
धोखाधड़ी,-3,,,,,
परदारगमन_का,-3,,,,,
शर्मनाक_तरीके,-2,,,,,
अमानवीकरण,-3,,,,,
अकेलापन,-1,,,,,
छितराया_हुआ,-1,,,,,
कोलाहलमय,-1,,,,,
भटकते_हुए,-1,,,,,
आराम,0,,,,,
सीमांत,0,,,,,
चुगली,-1,,,,,
इन्युएन्दो,-1,,,,,
एक_प्रकार_का_जहाज़,0,,,,,
हानि_पहुँचाता,-2,,,,,
तसलीम,1,,,,,
भीख_माँग,-3,,,,,
क्षीणतापूर्वक,-2,,,,,
मृगतृष्णा,-2,,,,,
वापस_लेना,-1,,,,,
हेकड़ी,-1,,,,,
छेद,-1,,,,,
अनसुलझे,-1,,,,,
विकट,-3,,,,,
बचाव_का,1,,,,,
अदूरदर्शिता,-1,,,,,
भयंकर_रूप,-3,,,,,
पूछताछ,-1,,,,,
